gene,pvals
PLCB2,1.82E-05
NAPA,0.000137394
CDC42,0.000169897
SLC12A7,0.000256289
TMX1,0.000256289
VPS26A,0.000283264
CD99,0.000283264
ST6GAL1,0.000505488
ACAP3,0.000797898
PFN1,0.000951774
CALR,0.000951774
FCER1G,0.001131454
CCNYL1,0.001340603
FKBP8,0.001583284
MRPS6,0.001583284
SH3BGRL3,0.00171859
BST1,0.00171859
PSMF1,0.00171859
VPS25,0.002020182
EMC1,0.002187775
CTSB,0.002187775
ARHGDIB,0.002367495
H1F0,0.002367495
FAM20C,0.00256009
TSPAN3,0.00256009
CTSS,0.00276632
WDR1,0.00276632
SLC52A2,0.00276632
EEF1E1,0.002987001
RAB11B,0.002987001
TP53INP1,0.003222989
TMEM50A,0.003475156
S100A10,0.003475156
PRKAR2A,0.003744433
MLF2,0.003744433
SRP14,0.003744433
SLC27A1,0.003744433
GMFG,0.003744433
CCNK,0.004031794
AIF1,0.004338233
KDM5A,0.004338233
TANGO2,0.004338233
PHC2,0.004664805
KIF13A,0.005012613
LYZ,0.005012613
PLAC8,0.00538278
BRAT1,0.00538278
HDGFL2,0.00538278
TMEM230,0.00538278
PDIA6,0.005776493
PPP1R9B,0.005776493
EHMT1,0.006194992
STX4,0.006194992
SCPEP1,0.006194992
UCP2,0.006639536
MAT2A,0.007111456
USF3,0.007111456
ANXA5,0.007111456
SLC31A2,0.007111456
PLOD3,0.007612137
PSAP,0.007612137
FAM160B1,0.007612137
TNFSF13B,0.007612137
ATXN7L3,0.007612137
CSTB,0.007612137
PRKX,0.007612137
S100A9,0.00814298
BAZ1B,0.00814298
RASSF4,0.00814298
EMILIN2,0.00814298
PHF5A,0.00814298
MT-ND6,0.00814298
FRG1,0.008705463
GAPT,0.008705463
TMEM14C,0.008705463
CLEC4E,0.008705463
WBP1,0.009301122
GAK,0.009301122
TMA16,0.009301122
LSM5,0.009301122
EIF3A,0.009301122
SNRNP25,0.009301122
DMAP1,0.00993151
AL445524.1,0.00993151
RUBCN,0.00993151
PAIP2,0.00993151
IPCEF1,0.00993151
ZFAND1,0.00993151
CLTA,0.00993151
CCAR1,0.00993151
CD63,0.00993151
RNF40,0.00993151
PLIN3,0.00993151
TBCB,0.00993151
S100A4,0.010598261
F5,0.010598261
DANCR,0.011303062
HIST1H1E,0.011303062
ABCF1,0.011303062
CFL1,0.011303062
BLOC1S1,0.011303062
NUCB1,0.011303062
S100A12,0.012047622
ARL3,0.012047622
MCRS1,0.012047622
PGK1,0.012047622
ARHGAP26,0.012833733
TM9SF2,0.012833733
SLC38A10,0.012833733
SLC39A3,0.012833733
MSN,0.012833733
ENO1,0.013663242
MAGOH,0.013663242
NDUFAF2,0.013663242
RNF216,0.013663242
QSER1,0.013663242
PTPN9,0.013663242
NGRN,0.013663242
ZNF524,0.013663242
FCGR2A,0.014538016
EPC2,0.014538016
DIAPH1,0.014538016
SAP30L,0.014538016
COX6C,0.014538016
XPA,0.014538016
CCSER2,0.014538016
MARS,0.014538016
ABAT,0.014538016
ATP5MC1,0.014538016
DSTN,0.014538016
EDEM2,0.014538016
CDA,0.015460003
ZNF362,0.015460003
ARMH1,0.015460003
SEPTIN2,0.015460003
ACTB,0.015460003
PILRA,0.015460003
IMPAD1,0.015460003
LY96,0.015460003
PPA1,0.015460003
ATP5PD,0.015460003
CUL4B,0.015460003
NBPF14,0.016431212
TLR5,0.016431212
CANX,0.016431212
TRIM44,0.016431212
PLBD1,0.016431212
TCF4,0.016431212
KXD1,0.016431212
OPA3,0.016431212
P2RY8,0.016431212
RPS6KC1,0.017453669
STAM2,0.017453669
USP38,0.017453669
HNRNPA0,0.017453669
NDUFA4,0.017453669
ACAA2,0.017453669
ECSIT,0.017453669
SH3BGRL,0.017453669
DNTTIP2,0.01852948
PTPRC,0.01852948
ABTB1,0.01852948
SRP19,0.01852948
ZNF394,0.01852948
KRR1,0.01852948
MAX,0.01852948
ANPEP,0.01852948
PSMD12,0.01852948
S100A6,0.019660816
HADHB,0.019660816
ANXA4,0.019660816
TENT2,0.019660816
HERC4,0.019660816
SMNDC1,0.019660816
CCT2,0.019660816
SERPINA1,0.019660816
MBTD1,0.019660816
BTBD2,0.019660816
DUSP23,0.020849852
LYPLAL1,0.020849852
COMMD2,0.020849852
KAT6A,0.020849852
NFX1,0.020849852
PRR13,0.020849852
SIAH1,0.020849852
MSL1,0.020849852
PHACTR4,0.022098854
DENND4B,0.022098854
CR1,0.022098854
DNPEP,0.022098854
LSG1,0.022098854
FGD2,0.022098854
FOXO3,0.022098854
SHARPIN,0.022098854
CRIP1,0.022098854
PRR14,0.022098854
CRISPLD2,0.022098854
EVI2A,0.022098854
SAFB2,0.022098854
MRPL4,0.022098854
CAPNS1,0.022098854
